               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081058,            0.051809,            0.025624,             0.74884,             0.27845,             0.26512,            0.099716,            0.059416,             0.06371,            0.016498,             0.07016,           0.0033155,           0.0033155
                   1,             0.05998,            0.042379,            0.015899,             0.86737,             0.32725,             0.44035,             0.18888,            0.052394,            0.060804,            0.014327,            0.038515,           0.0050033,           0.0050033
                   2,            0.054033,            0.040701,            0.013302,             0.65209,             0.57066,             0.63166,             0.31135,            0.046465,            0.057439,            0.010288,           0.0052193,            0.005041,            0.005041
                   3,            0.046121,            0.039028,           0.0094503,             0.82298,             0.66438,             0.75418,             0.41322,            0.038384,            0.053983,           0.0069415,            0.002575,            0.002575,            0.002575
