               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10669,            0.068837,            0.040737,           0.0031657,             0.12767,           0.0036708,          0.00088464,            0.097619,            0.096824,            0.032544,             0.07016,           0.0033155,           0.0033155
                   1,            0.087568,            0.059377,            0.026177,             0.61264,             0.17897,            0.092151,            0.024138,            0.076879,            0.083701,            0.019771,            0.038515,           0.0050033,           0.0050033
                   2,            0.076144,            0.055803,            0.019235,             0.74757,             0.19808,             0.20551,            0.072852,            0.065713,            0.081068,            0.017306,           0.0052193,            0.005041,            0.005041
                   3,            0.067414,            0.053562,            0.017416,             0.79984,             0.22825,             0.26257,             0.10336,            0.059206,            0.075781,            0.016106,            0.002575,            0.002575,            0.002575
